mobile_recharge_avg,utility_bill_ontime_pct,monthly_transactions,employment_type,monthly_income,existing_debt,mobile_wallet_txn_volume,residence_years,credit_score
1186.17,95.07,40,salaried,111943.14,yes,30133.59,8,High
552.45,15.6,15,self-employed,16247.87,yes,43375.72,3,Low
1843.23,70.81,43,salaried,10923.0,no,48510.54,1,High
2514.08,21.23,1,salaried,33819.15,yes,9578.52,7,Low
982.3,52.48,32,salaried,69336.19,yes,14915.84,20,Medium
1874.37,13.95,44,unemployed,49484.54,yes,18634.91,14,Medium
1422.6,78.52,37,daily-wage,36353.68,yes,25954.6,5,Medium
1818.0,4.65,44,unemployed,94271.37,no,8940.94,8,Medium
288.65,94.89,9,self-employed,145119.75,no,40515.67,3,High
983.38,9.77,5,unemployed,105161.09,yes,22287.55,11,Medium
453.91,49.52,22,daily-wage,12883.17,yes,45511.36,14,Low
850.46,66.25,34,salaried,52262.97,no,26243.37,2,High
1685.46,18.49,35,daily-wage,145681.02,no,38869.07,18,High
2824.55,89.48,12,salaried,92901.8,yes,46132.77,7,High
356.63,19.6,49,daily-wage,14422.28,yes,16603.85,7,Low
1227.16,27.13,6,unemployed,125680.73,no,18159.29,14,Medium
914.71,54.27,40,daily-wage,28011.24,yes,40208.75,11,Medium
316.2,98.69,22,self-employed,117658.76,no,10336.43,20,High
116.01,81.55,4,self-employed,108373.74,yes,36585.85,5,High
2336.68,7.4,29,unemployed,58902.13,no,6235.52,20,Medium
2603.0,62.33,44,self-employed,54987.52,no,3646.14,1,High
1001.85,32.52,14,salaried,111604.08,no,32059.09,12,Medium
2672.92,47.22,17,salaried,24982.38,yes,35805.62,18,Medium
2306.28,56.13,45,daily-wage,117477.34,yes,24942.88,20,High
1615.93,42.75,31,unemployed,11609.52,no,5840.63,4,Medium
191.14,63.64,16,self-employed,52638.55,yes,25674.25,17,Medium
2731.94,24.93,34,daily-wage,66274.38,no,37899.78,18,High
763.51,7.7,25,daily-wage,49144.71,yes,8480.45,4,Low
2796.12,80.81,32,unemployed,97943.33,yes,43637.3,1,High
2430.65,18.66,7,self-employed,134743.38,yes,27197.44,13,Medium
2441.58,89.61,38,salaried,53156.49,no,5947.57,12,High
761.01,42.71,38,unemployed,124158.1,no,43106.16,17,High
120.16,51.07,0,salaried,67272.36,no,11494.34,20,Medium
447.61,33.76,21,salaried,141893.18,no,16498.55,13,Medium
1604.49,70.3,10,unemployed,59635.4,yes,48603.21,8,Medium
2891.1,25.18,32,self-employed,78609.29,yes,15393.48,20,Medium
